0, 3214.5
1, 3122.5
2, 1906.5
3, 3602
4, 3244.5
5, 2939.5
6, 3072.5
7, 2984.5
8, 1073
9, 1364
10, 1669.5
11, 3329
12, 1866.5
13, 4878
14, 5074.5
15, 3341
16, 3006.5
17, 4397.5
18, 3237.5
19, 3160.5
20, 3238
21, 3433
22, 2885
23, 3119.5
24, 3560.5
25, 1691.5
26, 2276.5
27, 3633
28, 5272
29, 3477
30, 4281
31, 4221
32, 4300
33, 5591.5
34, 4155.5
35, 5912
36, 6219.5
37, 4673.5
38, 6716
39, 3992.5
40, 5655
41, 5654
42, 4301.5
43, 5488.5
44, 5030
45, 5034
46, 4535
47, 4976.5
48, 6288.5
49, 6731
50, 4336
51, 4379.5
52, 6731
53, 6970
54, 6748.5
55, 8215
56, 6225
57, 6886
58, 7406
59, 5517.5
60, 5819.5
61, 5537.5
62, 5319.5
63, 5408
64, 6570.5
65, 5088
66, 7163.5
67, 5883.5
68, 5888.5
69, 5868
70, 7423
71, 7244
72, 6657.5
73, 6627.5
74, 6442
75, 7119.5
76, 6417.5
77, 6897
78, 7376.5
79, 5809.5
80, 7136.5
81, 8101.5
82, 7946
83, 8100
84, 8147
85, 7873.5
86, 7668
87, 7692
88, 8100.5
89, 7401
90, 7554.5
91, 7638.5
92, 7250
93, 7018
94, 5840
95, 7958
96, 8553
97, 8362.5
98, 8410.5
99, 7863
100, 8245.5
101, 7454
102, 6089
103, 8179.5
104, 8522
105, 7731.5
106, 7722.5
107, 8155.5
108, 7034.5
109, 8745.5
110, 8525
111, 6563
112, 6498.5
113, 6648.5
114, 7828.5
115, 7820.5
116, 5996
117, 7303
118, 7285
119, 6470.5
120, 8010
121, 7628
122, 7757.5
123, 6569.5
124, 6530
125, 6682.5
126, 7089.5
127, 8403
128, 8411.5
129, 8292.5
130, 9795.5
131, 8469
132, 8362.5
133, 8561.5
134, 8331
135, 8933.5
136, 9814
137, 9178
138, 8767.5
139, 9035.5
140, 9127
141, 9010
142, 10121.5
143, 10112
144, 10178.5
145, 10644
146, 10364.5
147, 10365.5
148, 8953.5
149, 9712
150, 9567
151, 9649.5
152, 9649.5
153, 8529
154, 8704.5
155, 9447
156, 9933
157, 11349.5
158, 10472.5
159, 9730.5
160, 11067.5
161, 9907
162, 10768.5
163, 10717.5
164, 10447.5
165, 10359.5
166, 8758.5
167, 8808
168, 9098
169, 9681.5
170, 10562
171, 9752.5
172, 9212.5
173, 9097
174, 9010.5
175, 9901
176, 10163
177, 10113.5
178, 9817.5
179, 10700.5
180, 9974
181, 10067
182, 10050.5
183, 8847
184, 9024.5
185, 10216
186, 9571.5
187, 10255.5
188, 10690.5
189, 10131
190, 10652.5
191, 11630
192, 10526.5
193, 10098.5
194, 10199
195, 10253.5
196, 10083
197, 10296
198, 11631
199, 10827
200, 12092
201, 10925
202, 11572.5
203, 11406.5
204, 11299
205, 11287
206, 11088.5
207, 11368.5
208, 10160.5
209, 10320
210, 9677.5
211, 10739.5
212, 11322
213, 9775.5
214, 9836
215, 10729
216, 9407
217, 9743.5
218, 10383
219, 9990.5
220, 9991
221, 10485
222, 10192
223, 9703
224, 9635.5
225, 10841
226, 11418.5
227, 11798
228, 11950.5
229, 9345
230, 9934
231, 10754.5
232, 9969.5
233, 10392.5
234, 9816.5
235, 9816.5
236, 10351.5
237, 10915.5
238, 9738.5
239, 9850.5
240, 10539
241, 11316.5
242, 11469.5
243, 12319.5
244, 11187.5
245, 11076.5
246, 11413
247, 11097.5
248, 10656.5
249, 10673.5
250, 10398
251, 10535.5
252, 10227
253, 10955.5
254, 10569.5
255, 11811
256, 10896
257, 11648
258, 12793
259, 13234.5
260, 13216.5
261, 13276
262, 12479.5
263, 11171
264, 12203
265, 11155
266, 11497.5
267, 11625
268, 12143
269, 11798
270, 12807
271, 12109.5
272, 12580.5
273, 12580.5
274, 12508
